car_park_no,address,x_coord,y_coord,car_park_type,type_of_parking_system,short_term_parking,free_parking,night_parking,car_park_decks,gantry_height,car_park_basement,LAT,LON
PL51,BLK 213 PUNGGOL WALK,35273.4071,42431.6579,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2.15,N,1.400009768,103.8986757
PL52,BLK 312 SUMANG LINK,35583.2467,43557.8383,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,1.410194451,103.9014602
PL53,BLK 266 PUNGGOL WAY,35221.6263,43013.9553,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,1.405275866,103.8982106
PL54,BLK 259 PUNGGOL FIELD,34902.6149,42928.77,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,14,2.15,N,1.40450556,103.895344
PL55,BLK 261 PUNGGOL WAY,35069.2354,43028.1349,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.15,N,1.405404139,103.8968412
PL56,BLK 672 EDGEFIELD PLAINS,36726.0925,43212.3119,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,16,2.15,N,1.407069313,103.9117295
PL57,BLK 665 PUNGGOL DRIVE,37055.2239,42642.9595,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,1.401920198,103.9146869
PL58,663  PUNGGOL DRIVE,37289.3261,42421.1514,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.399914173,103.9167904
PL59,BLK 308 PUNGGOL WALK,35282.797,43327.1927,BASEMENT CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,Y,1.408108655,103.8987603
PL60,BLK 670 EDGEFIELD PLAINS,36896.1695,43074.4327,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N,1.405822332,103.9132578
PL61,BLK 678 PUNGGOL DRIVE,36410.0435,43106.6938,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,1.406114236,103.9088895
PL62,BLK 256 SUMANG WALK,34923.1009,43042.4085,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.40553326,103.8955281
PL63,BLK 677 PUNGGOL DRIVE,36486.8089,43065.2274,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,1.405739206,103.9095793
PL64,BLK 676 PUNGGOL DRIVE,36557.4238,43015.7992,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,3,2.15,N,1.405292175,103.9102138
PL65,BLK 310 PUNGGOL WALK,35389.8621,43509.9902,COVERED CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,1,2.15,N,1.409761781,103.8997225
PL66,BLK 121 EDGEDALE PLAINS,36352.1816,41721.0087,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,11,2.15,N,1.393582626,103.9083692
PL67,BLK 314 PUNGGOL WAY,35143.9937,43367.4988,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,2,2.15,N,1.408473204,103.8975131
PL68,BLK 217 SUMANG WALK,34935.4135,42745.609,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,16,2.15,N,1.40284911,103.8956387
PL69,BLK 661 EDGEDALE PLAINS,37380.9995,42710.8525,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,1.402534093,103.9176143
PL70,BLK 226 SUMANG LANE,34673.3293,42770.8483,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,2,2.15,N,1.403077427,103.8932836
PL71,BLK 682 EDGEDALE PLAINS EDGEDALE PLAINS,37178.9151,42875.7489,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,16,2.15,N,1.40402542,103.9157984
PL72,BLK 222 SUMANG LANE SUMANG LANE,34784.0419,42552.2276,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,13,2.15,N,1.401100276,103.8942784
PL74,BLK 233 SUMANG LANE,34486.264,42569.8371,MULTI-STOREY CAR PARK,COUPON PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,7,2.15,N,1.401259598,103.8916026
PL75,BLK 325 SUMANG WALK,35281.7517,43917.728,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,15,2.15,N,1.41344924,103.8987511
PL76,BLK 326 SUMANG WALK SUMANG WALK,35345.9447,43901.2419,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,6,2.15,N,1.41330013,103.8993279
PL77,BLK 659 PUNGGOL EAST ROAD,37596.6187,42542.5155,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,14,2.15,N,1.401011644,103.9195517
PL78,BLK 322 SUMANG WALK,35143.0392,43671.1572,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,1.411219379,103.8975046
PM1,473A PASIR RIS DR 6,41720.207,39587.085,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2.15,N,1.374282186,103.9566041
PM10,BLK 204A PASIR RIS STREET 21,42373.461,38753.7772,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,7AM-10.30PM,NO,NO,10,1.9,N,1.366745755,103.9624736
PM11,BLK 269A PASIR RIS STREET 21,42482.8751,38537.8136,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,1.9,N,1.364792609,103.9634567
PM12,BLK 272A PASIR RIS STREET 21,42657.807,38550.2316,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,6,1.9,N,1.364904826,103.9650286
PM13,BLK 199A PASIR RIS STREET 12,42053.3726,38723.5879,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,1.9,N,1.366472888,103.9595974
PM14,BLK 180A PASIR RIS STREET 11,42109.8791,38528.4122,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,1.9,N,1.364707766,103.9601051
PM15,BLK 158A PASIR RIS STREET 13,42284.7957,38467.7932,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N,1.364159467,103.9616768
PM16,BLK 149A PASIR RIS STREET 13,42400.9355,38268.6092,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N,1.362358066,103.9627203
PM17,BLK 142A PASIR RIS STREET 11,42064.8486,38316.5942,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N,1.362792186,103.9597003
PM18,BLK 135A PASIR RIS STREET 11,41750.9103,38533.7141,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2,N,1.364755883,103.9568795
PM19,BLK 108A PASIR RIS STREET 12,41766.7964,38887.5806,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,12,2,N,1.367956111,103.9570224
PM2,BLK 220A PASIR RIS STREET 21,42210.8365,39121.6128,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,1.9,N,1.370072399,103.9610125
PM20,BLK 526 PASIR RIS STREET 51,40702.1342,38896.9108,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,2.15,N,1.368040967,103.9474557
PM21,BLK 530 PASIR RIS DR 1,40920.1747,39245.8244,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,NO,NO,YES,15,2.15,N,1.371196316,103.9494151
PM22,BLK 555A PASIR RIS STREET 51,41231.6084,38954.5238,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,10,2,N,1.368561765,103.9522134
PM23,BLK 564A PASIR RIS STREET 51,40930.0174,38967.7033,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,2,N,1.368681089,103.9495034
PM24,BLK 561A PASIR RIS STREET 51,41131.632,38802.2291,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,8,2,N,1.367184513,103.951315
PM25,BLK 500A PASIR RIS STREET 52,40496.5258,39820.0373,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,NO,YES,13,1.9,N,1.376389465,103.9456086
PM26,BLK 521A PASIR RIS STREET 52,40316.681,39541.0967,MULTI-STOREY CAR PARK,ELECTRONIC PARKING,WHOLE DAY,SUN & PH FR 7AM-10.30PM,YES,11,1.9,N,1.373866906,103.9439924
